nom;partants;victoires
RAPHAËL ONGHENA;8;0
D. LEROI;1;0
K. HAWAS;4;0
B. BARBIER;28;0
ET. ONGHENA;11;0
I. ZENDELI;7;0
F. JAEGLER;6;1
J.P. FICHAUX;21;0
J.X. MAILLARD;11;0
YOANN ACKER;4;0
L.J. PELLEGRINO;3;0
L. GUITTON;8;0
G. DELAUNE;4;0
S. LELIEVRE;18;2
M. ANDREU MESQUIDA;2;0
MME A. MORISSE;4;0
S. ECALARD;24;0
MME C. HALLAIS-DERSOIR;11;1
R. WESTER;2;0
S. DE CUBBER;3;0
B. HOJKA;13;0
F.PH. BERTHAULT;6;0
J.M. BRECX;1;0
H. COMBOT;21;0
P. HERGNO;6;1
RÉGIS RADOUX;1;0
P. BOUCHEZ;1;0
J.PH. BAZIRE;2;2
J. BERTHELOT;3;0
PH.J. POISSON;12;0
MME B. RUIZ;3;0
A. FRONTERA POCOVI;1;0
MME MARIA LLINAS ROSSELLO;3;0
TRISTAN OUVRIE;1;0
G.J. DECOCK;4;0
J. DUCLOS;3;0
P.J. GOETZ;5;0
A. VAN ACHTER;7;1
MME SUZANNE VACHET;5;0
M. CHERADAME;3;1
D. GARCIAS;4;0
JOEL BOUTEILLER;4;0
L. VOLLET;3;0
E. VERDIER;1;0
J. ROUX;6;0
S. LEVOY;7;0
B. GUILLOUX;7;0
L. KOUBICHE;14;0
TH. LARDILLIER;1;0
MME KARINE DEBACKER;6;1
MARKUS B SVEDBERG;14;1
J.M. BOUVARD;10;1
R. GUESTHON;6;0
D. PROST;1;0
D. LAPRAY;4;0
CHRISTOPHE MARIE;10;0
G. ROCHNA DUMONT;4;0
R. DE FEYTER;5;0
KRISTOF GALLE;2;0
J.J. BOUQUET;2;0
J.M. BERNARD;1;1
J.M. EMPEYTAZ;2;0
J. HERARD;9;0
MLLE MARINE RICHARD;2;0
A. DE GRAEVE;4;1
E. NOISETTE;10;0
CH. WILDHAGEN;3;0
MAURICE VAN DE MOER;2;0
E. FOURNIGAULT;10;0
B. DESLANDES;10;0
D. BAZIN;9;0
J.M. TOUZET;1;0
M. HAMELIN;4;0
P. DESMIGNEUX;5;0
MATHIEU BLANQUET;8;0
J.Y. MARECHAL;5;0
MME PAULINE CAVANIE;5;1
THÉO DUVALDESTIN;3;3
ED. COUBARD-MEUNIER;13;0
R. COURCELLES;1;0
MME E. DESSARTRE;7;0
DARIUSZ CZERWINSKI;30;2
J.L. GADOIS;2;0
E. NICOLAYSEN;2;0
D. EOCHE;5;0
W. DAVID;2;0
D. PAULEAU;5;0
E. LAMBERTZ;6;0
J.F. MOUSSET;2;0
MLLE LARA LEFEBVRE;2;0
E. DEVENNE;12;0
J. LAVAINNE;4;0
V. HENON;1;0
F. ANDRIEU;11;0
JEAN MORICE;2;1
A. BARASSIN;2;0
CH. LEJEUNE;5;0
MME JULIETTE LEDUC;3;0
D. JUIN;4;0
MLLE A. HARET;1;0
M. BADIN;2;0
M. MASSY;7;1
J. ACHE;8;0
J. BABIEL;4;0
P. HACHIN;14;1
THIBAUD DELAPLACE;5;0
A. MARIE;4;0
G.L. PELTIER;3;0
C. CHESNE;5;0
J. WARIN;2;0
F.X. KOENIG;3;0
MME M. VAN PETTEN;2;0
V. POUPIOT;7;0
MME BETTY REMY;7;0
CLÉMENT DUVALDESTIN;4;4
S. DEGLAS;5;0
FRANCESCO DI STEFANO;1;0
STÉ. ENT. CHRISTOPHE MARTENS;46;4
MME M. BEUDARD;3;0
S. DESHAIES;5;0
CL.Y. FOUGERES;9;0
M. JUIN;3;0
F. ROBIN;2;0
G. HERARD;4;0
MME P. GAULIER;2;0
MME SANDRA WYSS;1;0
BRUNO CHARLES RIVIERE;3;0
JOAKIM ESKILSSON;1;0
J. DAHLMAN;4;0
V. ROYER;3;0
F. LETONTURIER;4;0
C. LEBOURGEOIS;2;0
F. DELPECH;4;0
F. LESZCZYNSKI;1;0
M. VICH CAPO;4;0
G. JEANNETON;1;0
D.E. CORDEAU;5;0
D. SABOURDY;5;0
C. LANGLOIS;2;0
E. VIDOTTO;1;0
JOERI DE LAENDER;4;0
ROEL SELDERSLAGHS;1;0
J. VANHOUCKE;1;0
V. COLLARD;6;0
J.L. FORGET;5;0
D. VAN DE WALLE;3;0
MME A. DENGIS;1;0
HANS DEPYPERE;8;2
MME M. BANSEMER;4;0
C. DELBECQ;4;0
D. DEFLOO;2;0
ANDREA ESPOSITO;3;0
F. TOQUET;3;0
H. DRAGT;2;0
J. FERCHAUD;4;0
B. DEBRIS;6;0
B. VAN HELLEPUTTE;1;0
A. LELODET;11;0
F. HANOT;1;0
A.P. SCHMITT;2;0
C. MAROLLEAU;7;0
CH. SORIEUX;2;0
A. GILLES;1;0
CH. VANDESTICK;4;0
N. CHEVALLIER;2;0
G. MONNIER;1;0
LÉO SEIGNE;1;0
N. LOISEAU;2;0
VLADIMIR HEBERT;3;0
F. LEDOUX;13;0
A. DUBOIS;2;0
PH. MIGEOT DE BARAN;1;0
K. VAN CRAEIJNEST;3;1
B. ROTSAERT;1;0
HENK DEPYPERE;3;0
J.L. CARPON;4;1
J.M. BABIN;6;0
B. DE GRAEVE;2;0
J.F. VAN DOOYEWEERD;34;10
O.J. ANDERSSON;6;0
A.W. BOSSCHA;4;0
Y. LEBOURGEOIS;2;0
L. DESCHAMP;1;0
MME M. GIBON;3;1
MATHIEU VERDEZ;2;0
G. BOTHOREL;2;0
J. BOUYNE;2;0
MME L. VAN BAEL;2;0
MLLE M. NORBERG;9;1
S. DELL'AQUILA;2;0
F. COMBOT;5;0
B. FEDRY;4;0
G. PRESLES;4;0
R. LHOMME;1;0
W. COYSMAN;2;0
M. VAN HOECKE;1;0
XAVIER BARROIS;12;0
A. CROZET;3;0
O. TIRARD;6;0
CL. RAIMOND;4;2
G.B. BADIN;3;0
F.M. ROUSSEL;4;0
D. ARMELLINI;5;0
D. BLOND;5;0
S. OBLIN;5;0
J.B. DAGORN;2;0
D. TRAVERT;2;1
E. CREPEAU;1;0
MME JILL VERSTRAETE;3;0
LIEVEN LANNOO;2;0
MME I.L. KUULMAN;5;0
S. DOUANEAU;4;1
P.F. COLLIN;3;0
TH. XICLUNA;1;0
D. MAUCOURT;2;0
F.M. DAVID;2;0
S. GAUDARD;1;0
P. QUESNEL;2;0
O. DIARD;2;0
CH. DAGNICOURT;8;1
A. DABOUIS;10;1
K. LEBOUTEILLER;4;0
ANTONY BOUTIN;3;0
P. BRETAUDEAU;2;0
A. GOUGEON;9;0
ET. ROUE-LECUYER;4;0
THOMAS LEBREC;11;0
MME SVIATLANA TARAN;3;0
J.J. ROULLAND;1;0
THIERRY COLLAUD;6;1
F. JUNG;3;1
B. GUILLOT;1;0
PH. AUTIN;1;0
L. LAHAYE;2;0
C. LELARGE;3;0
MME JASMINE ISING;4;0
J. BETHOUART;1;0
O. LIENART;8;0
V. CHABIRAND;3;0
G. LIGERON;13;1
MME A. BARTHELEMY;4;0
F.M. MORIN;4;0
N. ROUSSEL;2;0
B.G. GUERIN;1;0
A. HUREAU;8;3
TH. ADELAIDE;1;0
J. MERER;4;0
M. BOUGAULT;2;0
D. DANIGO;1;0
L.J. MARTIN;1;0
A. MANTA;2;0
TH. CORBES;1;1
MME E. DROUET-CONSTANTIN;1;0
CH.E. CHALMEL;4;1
MME L. BRETAUDEAU;1;0
T. MALMQVIST;10;0
MICHELE DI FRANCIA;1;0
E. POUPARD;4;0
G.J. LEFEBVRE;1;0
V. SAUVAGE;1;0
F.G. LOUICHE;3;0
J.PH. BORODAJKO;2;0
CH. POUSSIER;1;0
MME HÉLOÏSE LENAULT;1;0
D. GENOT;2;0
PH. JOUBIOUX;3;0
CH. JOUENNE;7;0
S. PILLON;7;0
P. HERNOT;4;0
A.J. MOLLEMA;3;0
F. REROLLE;2;0
PH. BEUREL;1;0
J. ROSENZWEIG;1;0
D. BOURGEIX;2;0
MLLE V. LIETARD;2;0
F. DEMOUTIEZ;3;0
A.A. GUIBOUT;5;0
X. LEVEAU;2;0
G. SORIEUX;2;0
J.L. DEHUT;3;0
T. MARTENS;1;0
G. GILLES;1;0
MME G. GARRAUD;1;0
MME M. TRIHOLLET;1;1
L. BAUDOUIN;2;0
M. GOVIGNON;2;0
J. LORENTZEN;1;0
J. GARNIER;5;0
STÉ. ENT. MATILDE HERLEIKSPLASS;4;1
ACURCIO MANUEL DA CUNHA PEIXOTO;1;0
M.G. BARON;2;0
DEAN SERNEELS;1;0
VITALII KLIUCHNIKOV;2;0
F. DEMUYNCK;2;0
R. AEBISCHER;1;0
G. QUARNETI;1;0
MICHEL DUVEAU;1;0
D. DE JESUS REIS;4;0
PATRICK KANE SR;1;0
R.T. DE VLIEGER;1;0
V. CABOS;1;0
J.PH. DARONDEL;2;0
S. BESNARD;1;0
B. BEULLENS;2;0
W. JEHANNE;1;0
GREGORY MARTENS;3;0
GH. DANNEVILLE;2;0
J. LAVILLE;2;0
G. NION;2;0
MME L. DAVODET;2;0
MARCO BORTOLOTTI;1;0
PETRI TARRIMAA;1;0
L.J. MOLLEMA;1;0
J. ROUE;1;0
G.V. GUNDERSEN;1;0
LOUIS RODRIGUEZ;2;0
CH.M. DUVAL;2;0
P. HEDIGER;2;0
PHADY LY;2;0
E. MANDRAN-FERRAND;2;0
XAVIER DEMASSE;1;0
MME M. LEMONNIER;3;0
K. GIRAUD;2;0
J.J.X. BARRE;1;0
F. CHAPDELAINE;1;0
A. VAN IMPE;1;0
S. ALUS;1;0
M. RAIMO;1;0
T. VERDONCK;1;0
D.CL. TRAVERT;1;0
F. LENAULT;1;0
B. MADELINE;2;0
P. CARMOY;1;0
P. DELAMARRE;2;0
Q. LEPENNETIER;1;0
STÉ. ENT. RODOLPHE DOUYERE;1;0
TH. LEVEAU;1;0
MME M. BACSICH;1;0
G. MAILLARD;1;0
W. BOURDON;1;0
L. PALEAU;1;0
CH. TACK;1;0
O. LECHARPENTIER;2;0
DR CEES P. BOEKEL;1;0
GUY X. NICOLAS;1;0
MME J. NADEAU;1;0
