nom;partants;victoires
J. CORBANIE;14;0
G. DEMOULIN;12;0
MME S. BUSSET;3;0
J. DELFORGE;5;0
K. DEVIENNE;75;5
F. CHARTIER;10;0
PH. TERNISIEN;9;0
P. HILLEN;7;0
G. SELLIER;4;0
S. DEWULF;12;1
F. DURVILLE;5;0
Y. DREUX;8;1
E. BEAUVAIS;4;0
G. LENAIN;39;1
L. OTT;1;0
MICHEL DUVEAU;2;0
J. RIERA SITGES;1;0
F. HEON;8;0
A. PALLESCHI;4;0
MLLE E. ROUSSEAU;6;0
MLLE J. OHANESSIAN;17;0
A. TOUZERY;4;0
MME C. BRECHAND;1;0
I.P. BLANCHON;10;0
M. CHARLOT;1;1
J.F. VALLETTE;6;0
V. CIOTOLA;3;0
Y. DOUSSET;10;0
R.R. BOUCAULT;7;1
L.G. RICHARD;13;1
J.PH. RAFFEGEAU;17;0
A. TROUVE;4;0
S. BIZEUL;6;3
R. RUCINSKI;3;0
MLLE A. LEYSSENNE;8;0
A. SCHNABEL;5;1
C. CHESNE;19;0
MLLE CL. LOUICHE;2;0
J. WEISS;7;0
A. BUISSON;1;0
MLLE C. CHERADAME;9;0
M. SAGARD;14;0
S. MOMBOURG;5;0
J. LEPAGE;1;0
E.M. FOURNIER;3;0
T. KANTELA;2;1
A. MARIE;8;0
K. BUSNEL;39;1
MLLE M. TREZIERES;5;0
F. BOUDET;27;2
PH. GENDRY;3;0
PH. JULIEN;8;0
G. GILLOT;25;1
H. CHAUVE-LAFFAY;7;1
A. MEURANT;5;0
TH. NOYON;1;0
MLLE M. GOBET;14;1
CH. CARTET;4;0
S. ZEGHOUANI;6;0
B. FEDRY;7;0
A. ROUSSEAU;13;1
MLLE CH. DELATTRE-COLAS;4;0
A. PACHA;4;0
MLLE C. VEYRET;5;0
M. LEMERCIER;15;0
F. HERIVAUX;18;5
J. MAILLARD;24;2
E. CONIGLIO;13;0
A. HENARD;8;0
J.ET. LE BEC;8;0
MME L. REGNIER;3;0
MLLE L. LIZEE;9;2
E. VAN DEN BERGH;4;0
E. DUPERCHE;1;0
S. BAZIRE;7;0
O. SCICLUNA;1;0
F. YVANES;11;0
MLLE O. TOUILLET;1;0
G. CHAVATTE;4;0
A. BESCHER;15;4
MME H. HUYGENS;19;0
J.M. CHAINEUX;34;1
T. VERDONCK;2;0
N. JAULNEAU;8;0
B. SCHWARTZ;11;0
B. MADELINE;10;0
FABRICE CHARTIER;7;0
J. UNTERSTEINER;1;0
S. LALOUM;54;3
J.J. DELHAL;5;0
R. WESTERINK;12;0
A. GRONDIN;3;0
M. CHAVATTE;8;0
MME L. CHARRIAUD;11;1
MME J. CHARBONNEAU;3;0
J.N. PECCOT;6;0
D. JAMARD;2;0
M. PEAN;16;2
L.A. MARTIN;9;0
MME YONA HENRY;7;0
MME L. LEDUC GUILLAUME;2;0
E. MAHE;7;1
TH. ADELAIDE;7;0
A. DIBATISTA;2;0
R. CAREL;2;0
J. PIEPLU;1;0
S. GAZON;6;0
J.P. CADEAU;2;0
MLLE CL. BEILEARD;19;0
R. PALIERNE;14;0
J. BEAUTRAIS;7;0
MLLE A. BEAUCAMP;6;0
L. CANNAERT;12;0
F. NEIRINCK;2;1
B.J. CREBAS;7;0
TH.E. LONCKE;16;1
I. DIERICKX;5;0
R. KUIPER;14;0
B. ROUER;17;1
J.P. MAILLARD;19;1
G. VERVA;6;0
B. GOGLIN;5;1
B. LEBEY;9;0
MLLE E. DESMIGNEUX;8;1
J. DENISOT;18;0
E. CIVE;16;0
V. HEBERT;7;0
Q. SEGUIN;4;0
C. CHENU;7;0
C. PETITDIDIER;1;0
S. RAFFEGEAU;4;0
G.Y. POIRIER;3;0
J.CH. GANDRE;3;0
Y. LAVIGNE;3;0
V. ROYER;15;0
D. DAVOUST;3;0
B.R. PLAIRE;3;0
N. CHEREAU;7;0
J. DUBREIL;10;0
AURELIEN DESMARRES;17;3
C. PISCUOGLIO;3;0
J. VASSALLO;1;0
P.L. ROUSSEAU;12;1
MME CL. DESMONTILS;12;0
M. BANSARD;7;2
N. MATHIAS;2;0
L. BRECHAT;8;0
J. HAMELET;2;0
MME M. ROUBAUD;13;0
F. GAUVIN;8;0
G. BOUYER;16;0
F. SENET;9;1
MLLE THAIS PELTIER;7;0
R. HOJKA;7;0
D. THIEFAINE;16;1
C. GILLET;1;0
L. RIVENET;10;0
TH. HUCHEDE;10;0
TH. LEVASSEUR;11;0
C. RAIMBAUD;17;2
M. KROUCHI;4;0
MLLE C. DA COSTA;5;0
W. DEVENNE;10;0
CH. PLANCHAIS;7;0
J.B. LEMOINE;21;0
L. BALU;18;2
P.Y. BOUVIER;1;0
A. CLERIN;6;0
F. COPPYN;7;0
ANTOINE TRIHOLLET;22;0
A. BLOYET;5;0
MLLE M. JOUIN;8;0
LOUIS LAHOUCINE;16;0
E. HENRY;5;0
N. COMMOY;3;0
M. BOUREE;4;0
F. ROBIN;17;0
F. LENAULT;2;0
S.G. DUPONT;1;0
O. PLACIER;2;0
MARC MOES;14;1
N. BECQUET;8;0
J. FROUCHART;5;0
R. FEELDERS;12;1
G. WILLEMS;9;0
P. BESSON;4;0
A. PEJUS;5;0
M. WEICK;4;0
A. MILLET;5;1
MLLE L. LEBRIEZ;2;1
MATTHIEU CORBIN;8;2
H. DENIS;3;0
P. GARREAU;4;1
V. VESCHEMBES;5;0
MLLE A. ZABE;4;0
T. SCHWARMA;5;2
X. THEVENET;3;0
D.M. HUE;3;0
ALAIN ROUSSEL;6;0
L. KOUBICHE;16;0
T. PARTAIX;8;0
MLLE J. GRAEL BOIVIN;1;0
L. BELLOCHE;9;0
MME L. GUARATO;2;0
EMILIEN RAULLINE;5;1
R. BOUVIER;58;8
R. BOT;7;1
CH. CRIADO;15;0
G. LOIX;4;0
S. FERRARA;4;0
MLLE H. GODEY;3;0
B. GEVAERT;5;0
P. POLIZZI;2;0
F. FERRERO;2;0
Y. ROBLOT;5;0
S. LE CERF;4;0
D. FISCEL;1;0
MLLE E. DUMAS;11;1
MME CH. MASSELON;3;0
G. SALCUNI;1;0
L. GIRAUD;3;0
MLLE M. LAMOUR;1;0
MME C. HUGUET;4;1
V. SOYEZ;3;0
MLLE E. LACOMBLEZ;1;0
S. VAN HAUWERMEIREN;1;0
P. ROULLEAU;5;1
O. PICARD;6;0
TH. ALINE;2;0
J. MINEE;14;1
M.A. BOVAY;2;0
G. CELIS;22;0
A. DENGIS;2;0
E. HANOT;3;0
B. BARBIER;1;0
I. ZENDELI;2;0
J. WURTZ;2;0
B. KAMECHE;2;0
G. HORNEZ;2;0
J. LEBOSSE;6;0
F. JAEGLER;6;1
L. MITRASSOF;12;1
C. PONCE;2;0
T. DUVALDESTIN;1;0
M. DUDOUIT;21;1
A.P. GIRAUD;2;0
A. BONNEFOY;2;0
MLLE C. SALAMANI;5;0
MME F. GAGNEUL;1;0
S.P. BLONDEAU;2;0
MLLE C. LAVILLE;5;0
D.O. LARUE;1;0
MLLE I. KLAPPE;1;0
G.R. HUGUET;3;0
J. GROIZEAU;7;0
MLLE P. PROD'HOMME;3;0
CH. SOUMILLON;5;0
A. FANTAUZZA;1;0
A. VALLS BARCELO;2;0
S. BOUISSON;3;0
M.D. DELPECH;4;0
MLLE A. GERVAIS;3;0
MLLE A. MORISSE;2;0
MME C. HALLAIS-DERSOIR;11;0
J. DEKKER;1;0
S. DE CUBBER;3;0
MLLE C. ONGHENA;1;0
J.R. DECLERCQ;14;1
F.PH. BERTHAULT;5;0
A. POUTEAU;3;0
ALAIN DESMARRES;6;0
L. PELTIER;3;0
J.CH. AUDRAN;4;0
A. GUYARD;4;0
R. VILLESALMON;1;0
D. HERNOT;1;0
G. MARTIN;2;0
J. BERTHELOT;4;0
MLLE CH. LE COZ;5;0
A. ERNAULT;5;0
PH.J. POISSON;2;0
MLLE J. BOULAIRE;3;0
B. BARASSIN;2;0
MME LOU GIRARD;1;0
A. FRONTERA POCOVI;1;0
S. GRIGNON;3;1
M. VICH CAPO;5;0
J.J. GARCIA;2;0
F. DELPECH;7;0
A. DE VAUGIRAUD;17;4
MLLE P. HUGELE;2;0
MME M. VER HULST;16;2
M. HERMEL;3;0
M. CAVANNA;3;0
MME N. VILQUIN;1;0
MME E. JAHRISCH;4;0
DAVID GARCIAS;2;0
JOEL BOUTEILLER;2;0
M. HELBERT;4;1
B. DE FOLLEVILLE;9;0
M. BELLANGER;3;0
V. CHARIL;4;0
Q. VOLLET;4;0
P.E. VERDIER;1;0
F.P. POULAIN;1;0
S. GILLES;10;0
J.G. VAN EECKHAUTE;30;3
TH. SCIPION;6;0
PH.R. MARY;4;0
MLLE D. BERCHER;9;0
H. NOBILET;3;0
S. BOURLIER;28;0
TH. LARDILLIER;1;0
Y. GERVAIS;1;0
S. ROCHER;9;1
MLLE J. LELIEVRE;4;2
MLLE M. BEATO;4;0
TH. BORDERIE;2;0
J.A. RABIER;5;0
R. GAUTHIER;1;0
A. LEPRIEUR;5;0
CH. HEOT;5;1
G. ROCHNA DUMONT;3;0
MME M. CHAZAL;9;0
R. DE FEYTER;5;0
D. DELSART;2;0
K. GALLE;2;0
R. THONNERIEUX;8;0
MLLE C. SAOUT;2;0
M. BESNARD;3;0
J.M. BERNARD;2;2
F. VIDOTTO;2;0
M. GYRE;1;0
MLLE ADELINE HARET;18;2
J.CL. LOUCHE;5;0
V. DORISON;3;0
J.L. DERSOIR;6;1
J. BAUDRON;1;0
M. HUYGENS;7;0
CH. WILDHAGEN;3;0
TH. DENIMAL;1;0
B. DE GRAEVE;2;0
R. BERUJAT;4;0
Y. LE BRIS;4;1
E. FOURNIGAULT;2;0
J.X. MAILLARD;5;0
PH. BEILEARD;2;0
A. MENAGER;6;0
S. LELIEVRE;6;0
MLLE L. BESNARD;1;0
MME L. PREEL;5;0
A. PACARY;5;0
B. DEBRIS;11;0
TH.J. VIEL;6;0
M. TOUZET;8;1
D. RIALLOT;1;0
MLLE M. PLASSAIS;3;0
A. LAY POTTIER;4;0
M. BAULAIN;8;0
M. MARIE;4;0
M. BLANQUET;5;0
P. TAMSIN;4;0
C. JEAN;4;0
A. DESMOTTES;2;0
LEO CHESNEL;7;0
MME A. ALTHOFFER;2;0
P. LECLERCQ;4;0
R. COURCELLES;1;0
B. VASSARD;3;0
K. VANDEMOORTELE;2;0
A. BORDEAU;3;0
D. CZERWINSKI;5;0
J.L. GADOIS;3;0
E. NICOLAYSEN;3;0
R. COTE;1;0
J.M. LESAINT;6;0
R. TOTARO;2;0
H. TOUVAIS;2;0
MLLE M. LE BOURHIS;2;0
E. LAMBERTZ;7;0
W. DAVID;1;0
MME C. LOSAY;1;0
J.F. MOUSSET;2;0
N. FRIGOTTO;2;0
J.CL. VINCENT;3;0
J. DUPREY;7;1
E. DEVENNE;5;0
TH. COULON;2;0
R. LEVILLAIN;3;0
D. MOULINEUF;1;0
A. SINENBERG;4;0
A. BRUN;3;0
Q. CHAMPENOIS;13;0
V. HENON;2;0
Y. SALAUN;4;0
H.E. BONDO;4;0
D. PASQUIER;3;0
CH. LEJEUNE;4;0
MME N. GODEY;5;0
FRANCIS ROBIN;2;0
A. MARIN-CUDRAZ;2;0
Q. GUILLET;2;0
L. VRAC;2;0
MME M.L. EGGER-MARAGNIN;1;0
P.M. MANCEAU;3;0
P.X.  FLEURY;6;0
M. BADIN;2;0
MLLE M. COLLET;2;0
F. KALEK;3;0
J. BABIEL;4;0
MLLE M. SOISMIER;4;0
A. DUPERCHE;38;4
C. DERHAN;12;0
CH. MANEGAT;14;0
MLLE A. LEPERE;3;0
CH. DIGER;3;1
F.X. KOENIG;3;0
P. VAN PETTEN;2;0
G.L. PELTIER;1;0
S. FERCHAUD;4;0
MME B. REMY;4;0
F. DI STEFANO;1;0
S. DESHAIES;4;0
H. COMBOT;4;0
A. PEREIRA;8;0
J. LAVAINNE;2;0
CL.Y. FOUGERES;9;0
J.F. POPOT;2;0
TH. PELTIER;2;0
D. DUPRE;3;1
K. BAUDRY;1;0
G.M. BERNIER;8;0
A. MOUCHOT;1;0
MLLE S. AUVRAI;8;0
A. LE BEC;3;0
G. HERARD;3;0
MLLE P. GAULIER;3;0
S. GUARATO;2;0
R. BUFFAVAND;6;0
C.J. DE LEEUW;4;0
J.M. BAZIRE;58;15
G. MARCQUE;7;0
K. AIT OUAKLI;3;0
J. BORDAS;9;0
MLLE P. BELUZE;5;0
ALEXIS RIVIERE;1;0
W. BOURDON;2;0
P. DANET;2;0
L. CRUNELLE;4;0
MME S. DELAUNAY;2;0
LUCAS LUCIANI;3;0
F. LETONTURIER;1;0
J. GASTINEAU;7;1
C. LEBOURGEOIS;2;0
PH.E. TRIBLE;3;0
S. GELIN;2;0
J.L. VAYR;1;1
MME E. BORIE;1;0
J. DHOUM;6;1
D.E. CORDEAU;8;0
R. FARRUGIA;1;0
F. LESZCZYNSKI;1;0
N. DELORME;6;0
J. DE LAENDER;4;0
F. ROUSSEL;4;0
P. STEVENS;1;0
T. COOK;4;0
MME E. HOT;1;0
L. PEREIRA;3;0
MME K. RENAULT;4;1
P. CATHERINE;1;0
PH. DE MUNSTER;11;0
V.J. FERREIRA D. SANTOS;3;0
L. CHEVROLLIER;3;1
D. MALIZA;2;0
T. DEPYPERE;6;0
J. NUMMI;4;0
L. BAZIN;6;0
G. DEPYPERE;3;1
B. DESCHARLES;3;0
F. GUILLEMAIN;1;0
J.B. BONET;4;0
RENE LEGATI;2;0
R. POJASEK;1;0
MME R. MASSON;3;0
A. LELODET;11;0
TH. ROUSSEL;5;0
G. LEFEBVRE;2;0
F. HANOT;1;0
C. MAROLLEAU;4;0
CH. SORIEUX;2;0
B. PELLAN;1;0
A. GILLES;1;0
G. GUILBERT;1;0
MLLE J.M. ABRIVARD;7;0
P. NEVEU HERBRETEAU;2;0
N. LOISEAU;2;0
F.A. WARTEL;2;0
TH. MOREL;1;0
F.M. ROUSSEL;5;0
O. FOUILLET;4;1
PH. PERRET;3;0
C. FRECELLE;1;0
D. CHERADAME;1;0
B. COGNE;3;0
J.M. LEGROS;2;0
T. MARSAULT;3;0
A. GARREAU;2;0
C. TESTARD;2;0
E. GLORIA;3;0
D. RABILLER;5;0
PH. MIGEOT DE BARAN;1;0
D. KUMPEN;2;0
LUC A. LANNOO;3;0
MLLE MANON ROTSAERT;1;0
M. PALMIERI;2;0
S. VERPLANCKEN;1;0
A. MARCHAUX;3;0
A. DESBOIS;1;0
A. CANCOUET;3;0
CL. CHABRUN;3;0
O.J. ANDERSSON;1;0
L. MARTINIERE;1;0
M. ANTOLIN;2;0
MLLE C. LEGRAIN;13;1
C. COUSTES;9;0
G. ACHE;8;0
M. VARIN;1;0
MATHIEU VERDEZ;3;0
PH. GUINARD;1;0
F. LAIR;3;0
MLLE D. BESSE;6;2
C. CLOZIER;1;0
MME A. TESSIER;2;0
MLLE C. CHASSAGNE;6;0
MLLE M. NORBERG;4;0
LORIS BIZOUX;16;0
E. FREMIOT;1;0
J.R. LEPERT;2;0
S. DELL'AQUILA;1;0
M. MESSAGER;7;0
A. DUPERCH;1;0
TH. LE MERRER;1;0
MME B. DEMOULIN;4;0
J. CH. PITON;1;0
F. LE VERGER;1;0
G. GANNE;3;0
MME A. PEROCHEAU;3;0
K. WESKA;3;0
V. LUONGO;2;0
D.F. GAUDIN;5;0
X. BARROIS;11;0
J.F. VAN DOOYEWEERD;14;3
G. CAPORGNO;1;0
F. DUCROCQ;2;0
J.Y. DESCAMPS;2;0
J. CLYNCKE;1;0
L. LEFRANCOIS;4;0
O. FONTES DE AGUIAR;4;0
A. DE JESUS;4;0
TH. VOLCKAERT;1;0
D. BLOND;5;0
P. CHEVRIER;1;0
M.J. RUAULT;2;0
E. CREPEAU;4;0
F. PICOT;5;0
V. POUPIOT;1;0
G. GERVAIS;3;1
MME G.E. DOUILLARD;2;0
J. LAISIS;4;0
E. BARE;1;0
V. FIGUEROA PAZ;2;0
J.B. DAGORN;2;0
D. TRAVERT;2;1
B. DESLANDES;2;0
M. LENDERS;2;0
CH. BOUTET;1;0
S. DOUANEAU;1;0
A. ALIX;4;1
TH. XICLUNA;1;0
K. RIAHI;1;0
TH. HERNANDEZ;3;0
MLLE L. BRAUD;5;0
F.M. DAVID;2;0
S. GAUDARD;2;0
MME L. MAILLET;1;0
L. LAPIERRE;1;0
V. SIMON;3;0
P. DESMIGNEUX;5;0
A. LEDOYEN;5;0
MME E. LAPEYRE;4;0
P. QUESNEL;5;0
L. THUBIN;1;0
B. MESLIN;3;1
CH. DAGNICOURT;3;0
ANTONY BOUTIN;2;0
P. BRETAUDEAU;3;0
CH. VIELLE;6;2
B. COPPENS;12;0
PH. DUPRE;3;0
P. PACAUD;5;0
TH. COLLAUD;5;1
X.J. MARIMON CIVICO;6;0
MME E. BRIFFAUX;2;0
L. ADAM;1;0
E. BRIFFAUX;1;0
MME V. HUE;2;0
M. GUESNEY;2;0
L. LAHAYE;2;0
MME MARIE GOETZ;1;0
O. DIARD;2;0
ANTOINE PERRIER;3;1
MME E. LAMOUR-DEVENNE;3;0
B. BOURGOIN;1;0
O. LIENART;2;0
V. CHABIRAND;4;0
S. PAVION;1;0
M. MANZONE;1;0
F. DELENCLOS;2;0
P. DESPREZ;1;0
B. NORMAND;1;0
M. MAUSSION;1;0
D. COPPYN;1;0
TH. BEUSTE;2;0
B.G. GUERIN;1;0
L. GUITTON;2;0
MME M. LEVEAU;3;1
AXEL DAVID;4;1
J.P. DUBOIS;6;1
K. LEBLANC;5;0
MME M. TORRE;2;0
T. BOUE;2;0
T. JURANVILLE;4;0
M. BOUGAULT;2;0
D. DANIGO;1;0
D. MAUCOURT;1;0
TH. CORBES;1;1
K. GIRAUD;4;0
ALAIN CHAVATTE;2;0
R. TURCAN;4;1
F. CHRISTOPHE;5;0
G. LIGERON;4;0
MLLE L. BRETAUDEAU;1;0
P. PLOQUIN;3;0
A. BERHAULT;4;0
J. VAN DER WAL;1;0
M. ELTER;1;0
D. LEPERE;3;0
R. ROTEN;1;0
N. LEMETAYER;3;0
M.B. SVEDBERG;2;0
MLLE K. POUPARD;2;0
MLLE L. CELIS;1;0
A. VIVIER;2;0
D. ACINA;1;0
M. MINOPOLI JR.;5;0
A. NORDEMO;2;0
MME C. JACOB;1;0
J.PH. BORODAJKO;4;0
MLLE M. JOLY;1;0
CH. LERAY;1;0
R. KERGUERIS;1;0
F. PELTIER;1;0
CH.E. CHALMEL;4;0
MLLE H. LENAULT;3;0
PH. JOUBIOUX;2;0
CH. JOUENNE;4;0
F. ANDRIEU;5;0
N. ENAULT;4;0
A. LELOUP;1;0
J.L. VIEL;2;0
M. BRAULT;2;0
TH. VORGERS;2;0
F. REROLLE;1;0
MME M. ALFREDSEN;1;0
MME E. JOHANSSON;1;0
MME L. GRUVRIS;1;0
MME E. HARALA;1;0
MME P. ULVI;1;0
H. GARSEG;1;0
MME G.L. MANGSETH;1;0
J. ROSENZWEIG;1;0
B. CHALMEL;1;0
G. DE WAELE;3;0
D. MAHIEU;1;0
A. DELASALLE;1;0
R. CHAUSSIER;1;0
P. FRERET;2;0
A.A. GUIBOUT;2;0
A. PERRIN;2;0
X. LEVEAU;1;0
M. HAMELIN;2;0
F. DEHUT;3;0
S. DALES;1;0
MLLE L. VAN BAEL;3;0
L. BROHIER;3;1
B. CLAIRET;1;0
S. ECALARD;1;0
G. GILLES;1;0
J.B. BROTELANDE;1;0
JULES WEISS;1;0
C. CHABRUN;1;0
R.F. PERRET;1;0
MME I. LELIEVRE;3;0
R. WESTER;1;0
M. ARICKX;1;0
L. GOUT;1;0
MME L. LAURENT;2;0
Q. GAILLARD;3;0
M. COUVELARD;1;0
MME A. LEMONNIER;2;0
S. PILLON;7;0
F. DEMOUTIEZ;1;0
A.M. DA CUNHA PEIXOTO;1;0
M. BRUN;6;0
M.G. BARON;3;0
E. ALRON;1;0
MME L. CARNEIRO;1;1
D. DEVOLDER;2;0
V. KLIUCHNIKOV;2;0
F. DEMUYNCK;1;0
V. HERARD;2;0
J.M. BABIN;1;0
CL. MONTE;1;0
MME T. VARTIAINEN;1;0
MME LAETITIA GOUT;1;0
C. CORBINEAU;1;0
MLLE J. LEMONNIER;3;0
P. KANE JR;1;0
D. THOMAS;3;0
MME CH. L. DAVID;1;0
S.D. ALIX;1;0
S. BESNARD;1;0
B. BEULLENS;2;0
W. JEHANNE;1;0
S. LEVOY;2;0
VLADIMIR HEBERT;2;0
GREGORY MARTENS;2;0
A. ELIPHE;3;0
J.L. CARPON;1;0
M. LE CERF;1;0
MLLE T. LEVESQUE;2;0
MLLE L. LEBOUTEILLER;1;0
N. DESHORS;3;0
A. TRIBOUL;1;0
J. LAVILLE;2;0
MLLE A.M. SOUDAIN;2;0
M. HUE;2;0
MME H. TJALSMA;1;0
M. AMBOS;1;0
N. GEIREGAT;1;1
L. BIZOUX;3;0
MME CLARA DERSOIR;2;0
MME A.J. HALLAIS;2;0
A. HIRBEC;1;0
L.CL. ABRIVARD;7;0
A. GOURGAND;2;0
A. RENAULT;1;0
R. LHOMME;1;0
MLLE M. DONABEDIAN;1;0
B. GUENET;1;1
MLLE D. ARAMINI;4;0
F. LAMARE;4;0
M. SASSIER;1;0
MLLE E. DESSARTRE;2;0
S. OYER;1;0
GH. DANNEVILLE;1;0
J. DUCLOS;1;0
A. MORIN;1;0
J. MARC;2;0
Y. HUREL;1;0
W. RACINNE;2;0
J.Y. MARECHAL;1;0
L.G. COHEN;2;0
CL. FOUQUET;5;2
MME CAROLE THOMAS;1;0
PH. MOULIN;2;0
B. GRONDIN;1;0
A. SOURICE;1;0
P. LERENARD;4;0
N. CHAMBION;1;0
E. DEMASSE;1;0
J. COULON;1;0
J. CUSSY;1;0
N. FERNANDEZ-SANCHEZ;4;0
J. MERER;2;0
G. BARDOU MENARD;3;0
MLLE M. QUEIROS;1;0
F. PITHON;1;0
D. BARRE;1;0
V. LEBARQUE;1;0
S. ALUS;1;0
H. CHAUCESSE;3;0
T. VLAEMYNCK DEBOST;4;0
TH. LEBREC;4;0
ANTOINE MICHEL FOSSEY;3;0
CL. LELIEVRE;2;0
MLLE J. TRIOMPHE;1;0
G. LEMOINE;1;1
N.G. LEFEVRE;1;0
MME L. DERSOIR;3;0
D. LIZEE;1;0
MME J. LEBLOND;1;0
MME JEANNE LENAULT;1;0
CH. JARIEL;1;0
P. DELAMARRE;2;0
B. LIZEE;1;0
Q. LEPENNETIER;1;0
TH. LEVEAU;1;0
R. FOIRET;2;0
R. COPPENS;1;0
G. MAILLARD;2;0
CHRISTOPHE MARIE;2;0
L. LAURENT;1;0
INESKA;1;0
GAVROCHE DE L'ITON;1;1
ISEO DE LOU;1;0
JOIE DE LA COTE;1;0
HARLEQUIN;1;0
IRON D'ESPOIR;1;0
IPPON DE MONTCEAU;1;0
GALOPIN DE BIANCA;1;0
HELECHO;1;0
FILOU DE SITA;1;0
MME V. LELIEVRE;1;0
A. RAMAGE;1;0
A. LEBOURGEOIS;1;0
D. DONFRONT;1;0
L. PALEAU;1;0
F. VALSEMEY;1;0
MME L. LAMARE;1;0
J.L. LEREBOURG;1;0
PH. LAMBERT;1;0
MLLE M. BODIN;1;0
M. TABU;1;0
CH. THOISON;1;0
P.ET. DUBOIS;1;0
F.M. MORIN;1;0
A. GOUGEON;2;0
G.B. BADIN;1;0
CH. SYBERS;2;0
V. PATEAU;2;0
F. SORIEUX;1;0
MME J. NADEAU;1;0
M. DAVID;1;0
CH. VANDESTICK;1;0
A.H. POST;1;0
MME O. CORBIN;1;0
E. ROGY;1;0
MLLE M. BEUDARD;1;0
MME A.F. DONATI MARCILLAC;1;0
M. CATHERINE-PEZET;1;0
MLLE A. JEAN;1;0
J.B. PAREY;1;0
A. WISSOCQ;1;0
J. WARIN;1;0
A. TOURON;1;0
P.L. DEVOUASSOUX;1;0
PH. LEFEBVRE;1;0
JULIEN FONTAINE;1;0
G.V. GUNDERSEN;1;0
MLLE M. BOCK;1;0
J. VON KRUSENSTIERNA;1;0
J. LASSON;1;0
P. HEDQVIST;1;0
MME L. FRAVAL;1;0
V.P. DELL'ANNUNZIATA;1;0
MME L. LECOQ;1;0
G. BLANCHARD;1;0
G. GUERIN;1;0
J.J. BAILLON;1;0
